symbol,momentum_sign,portfolio,
lowvol_plus,0.25,376764.7059,0.061764706
momentum_plus,0.916666667,1381470.588,0.226470588
quality_plus,0.916666667,1381470.588,0.226470588
us_treasury,0,1.83E+06,0.3
value_plus,0.75,1130294.118,0.185294118
