symbol,momentum_sign,portfolio
lowvol_plus,0.14285714285714285,235862.8846153846
momentum_plus,0.75,1238280.1442307692
quality_plus,0.8333333333333334,1375866.826923077
value_plus,0.75,1238280.1442307692
